city,quarter,year,count_extreme_weather,hours_traffic,covid_cases
San Francisco,Q4,2021,1,50,18280
San Francisco,Q1,2022,1,97,56386
San Francisco,Q2,2022,3,97,34979
San Francisco,Q3,2022,5,97,18447
San Francisco,Q4,2022,5,97,11526
San Francisco,Q1,2023,11,70,8044
San Francisco,Q2,2023,0,70,3263
San Francisco,Q3,2023,0,70,517
San Francisco,Q4,2023,0,70,0
San Francisco,Q1,2024,8,50,0
San Francisco,Q2,2024,1,50,0
San Francisco,Q3,2024,2,50,0
San Francisco,Q4,2024,2,50,0
South Bay/San Jose,Q1,2020,3,47,1364
South Bay/San Jose,Q2,2020,5,47,4207
South Bay/San Jose,Q3,2020,11,47,16611
South Bay/San Jose,Q4,2020,8,47,52951
South Bay/San Jose,Q1,2021,12,50,38672
South Bay/San Jose,Q2,2021,4,50,5270
South Bay/San Jose,Q3,2021,1,50,22143
South Bay/San Jose,Q4,2021,1,50,31096
South Bay/San Jose,Q1,2022,1,97,140220
South Bay/San Jose,Q2,2022,3,97,71269
South Bay/San Jose,Q3,2022,5,97,47078
South Bay/San Jose,Q4,2022,5,97,30636
South Bay/San Jose,Q1,2023,11,70,17983
South Bay/San Jose,Q2,2023,0,70,7439
South Bay/San Jose,Q3,2023,0,70,1396
South Bay/San Jose,Q4,2023,0,70,0
South Bay/San Jose,Q1,2024,8,50,0
South Bay/San Jose,Q2,2024,1,50,0
South Bay/San Jose,Q3,2024,2,50,0
South Bay/San Jose,Q4,2024,2,50,0
